                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.75227,                0.35377,                0.77821,                 0.8947,                0.74202,                0.81924,                0.55929,                0.77961,                0.37827,                0.79188,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71473,                0.34268,                0.77684,                0.80437,                0.75657,                0.79728,                0.56736,                0.77618,                0.37444,                0.79333,             0.00048275,             0.00048275,             0.00048275
                     64,                0.72111,                0.34264,                0.77622,                0.78352,                0.72784,                0.77621,                 0.5584,                 0.7708,                0.38128,                0.79146,             0.00047038,             0.00047038,             0.00047038
                     65,                0.72219,                0.34027,                0.77756,                0.88157,                0.78441,                0.82825,                0.57902,                0.76069,                0.35946,                 0.7923,               0.000458,               0.000458,               0.000458
                     66,                0.72314,                0.33932,                0.77636,                0.81849,                 0.7646,                0.82212,                0.56389,                0.82053,                0.37182,                0.79582,             0.00044563,             0.00044563,             0.00044563
                     67,                0.72771,                0.34384,                0.77908,                0.88202,                0.76406,                0.82136,                0.57192,                 0.7873,                0.37366,                0.79179,             0.00043325,             0.00043325,             0.00043325
                     68,                0.70932,                0.33355,                0.77621,                0.91519,                0.78263,                0.83235,                0.58602,                0.77384,                0.35743,                0.79156,             0.00042087,             0.00042087,             0.00042087
                     69,                0.68892,                0.32644,                0.77618,                0.90622,                0.73817,                0.81714,                0.56615,                 0.7706,                 0.3584,                0.79176,              0.0004085,              0.0004085,              0.0004085
                     70,                0.73721,                0.34306,                0.77755,                0.86141,                0.75138,                0.81299,                0.56292,                0.80084,                0.36911,                0.79342,             0.00039613,             0.00039613,             0.00039613
                     71,                0.72198,                0.33704,                0.77455,                0.87267,                0.73845,                0.80698,                0.55581,                0.77925,                0.38098,                0.79157,             0.00038375,             0.00038375,             0.00038375
                     72,                0.72588,                0.33714,                0.77449,                0.90198,                 0.7775,                0.82554,                0.57561,                0.77162,                0.35919,                0.79068,             0.00037138,             0.00037138,             0.00037138
                     73,                0.70214,                0.32562,                0.77556,                0.86577,                0.76143,                0.81382,                0.56567,                0.79135,                0.36221,                0.79333,               0.000359,               0.000359,               0.000359
                     74,                0.68558,                 0.3177,                0.77631,                0.86537,                0.76432,                0.82186,                0.56499,                0.76704,                0.35388,                0.79045,             0.00034663,             0.00034663,             0.00034663
                     75,                0.68255,                0.31854,                0.77531,                0.88671,                0.75059,                 0.8324,                0.57688,                0.77262,                0.36345,                0.79107,             0.00033425,             0.00033425,             0.00033425
                     76,                0.66356,                0.31519,                0.77432,                0.87483,                0.78069,                0.82846,                0.58049,                0.77676,                0.35858,                0.78999,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.6766,                0.31527,                0.77505,                0.86221,                0.73007,                 0.8151,                0.56748,                0.78863,                0.36529,                 0.7906,              0.0003095,              0.0003095,              0.0003095
                     78,                0.69034,                0.32176,                0.77398,                0.85732,                0.77026,                 0.8257,                0.57056,                0.78722,                0.35684,                0.79172,             0.00029713,             0.00029713,             0.00029713
                     79,                0.67112,                 0.3151,                0.77282,                0.92199,                0.76511,                0.83418,                0.57558,                0.77675,                0.35567,                   0.79,             0.00028475,             0.00028475,             0.00028475
                     80,                0.66809,                0.31424,                0.77299,                 0.8772,                0.76145,                0.81861,                0.57704,                0.76798,                0.35485,                0.79051,             0.00027237,             0.00027237,             0.00027237
                     81,                0.64198,                0.30512,                 0.7737,                0.89121,                0.74715,                0.82722,                0.57267,                0.79276,                0.35904,                0.79072,                0.00026,                0.00026,                0.00026
                     82,                0.65499,                0.30889,                0.77252,                0.89594,                0.78748,                0.83956,                 0.5893,                0.77782,                  0.351,                0.79009,             0.00024762,             0.00024762,             0.00024762
                     83,                0.64484,                0.30622,                0.77393,                  0.838,                0.74649,                 0.8138,                0.57748,                0.75968,                0.35039,                0.78979,             0.00023525,             0.00023525,             0.00023525
                     84,                0.65751,                0.30924,                0.77222,                0.90708,                 0.7731,                0.83747,                0.58987,                0.77598,                0.34643,                0.78995,             0.00022288,             0.00022288,             0.00022288
                     85,                0.65607,                0.30784,                0.77049,                0.86149,                0.76004,                0.81039,                0.58745,                0.76364,                 0.3546,                0.78942,              0.0002105,              0.0002105,              0.0002105
                     86,                0.64704,                0.30263,                0.77322,                0.86158,                0.76187,                0.82415,                0.57115,                 0.7833,                0.35192,                0.79076,             0.00019813,             0.00019813,             0.00019813
                     87,                0.65329,                0.30566,                0.77229,                0.85119,                 0.7689,                0.80851,                0.57658,                0.79099,                0.34639,                 0.7915,             0.00018575,             0.00018575,             0.00018575
                     88,                0.65361,                0.30258,                 0.7717,                0.91635,                0.75859,                0.83392,                0.59156,                0.76925,                0.34654,                0.79069,             0.00017338,             0.00017338,             0.00017338
                     89,                0.62142,                0.29348,                0.77107,                 0.9022,                0.75784,                0.83336,                0.57974,                0.76273,                0.35034,                0.79059,               0.000161,               0.000161,               0.000161
                     90,                0.62355,                0.29301,                0.77275,                0.86043,                0.74002,                0.82154,                0.56959,                0.77196,                0.36039,                0.79074,             0.00014862,             0.00014862,             0.00014862
                     91,                0.59573,                0.29225,                0.77088,                0.89814,                0.77093,                0.82381,                 0.5831,                0.76411,                 0.3446,                0.78964,             0.00013625,             0.00013625,             0.00013625
                     92,                0.58345,                0.28778,                0.77219,                0.89355,                0.75566,                0.82487,                  0.578,                0.76519,                0.34826,                0.79023,             0.00012387,             0.00012387,             0.00012387
                     93,                0.58616,                0.28459,                0.77333,                0.86475,                0.74893,                0.83358,                0.57703,                 0.7869,                0.36492,                0.79086,              0.0001115,              0.0001115,              0.0001115
                     94,                0.56905,                0.28255,                0.77136,                0.85773,                0.75279,                0.83378,                0.58278,                0.78438,                0.35653,                0.79137,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.56883,                0.28069,                0.76886,                0.84784,                0.74801,                0.83194,                0.58863,                0.76591,                0.35237,                0.78952,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.56558,                0.27863,                0.77118,                0.88282,                0.74215,                0.82286,                0.58132,                0.77717,                0.34404,                0.78951,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.56072,                0.27715,                0.76951,                0.87473,                0.74375,                0.82064,                0.57652,                0.76702,                0.35036,                0.78895,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.54768,                0.27392,                0.77087,                0.85411,                0.73802,                0.81283,                 0.5728,                0.76748,                0.35115,                0.79014,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.56398,                 0.2756,                0.76931,                 0.8475,                0.73537,                0.81071,                0.57104,                0.77366,                0.35198,                0.78968,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.54681,                0.27211,                0.76854,                0.87426,                0.75707,                0.82044,                0.57889,                 0.7614,                0.34976,                0.78956,             2.4875e-05,             2.4875e-05,             2.4875e-05
